degree,travel_time
10.0,145.51115224573545
12.000000000000002,173.11635109943373
14.0,200.04824117907881
16.0,225.96665225645515
18.0,251.33446958226594
20.0,273.76214234766
22.0,295.4690309693306
24.000000000000004,316.60136599277996
26.0,335.69630003038725
28.0,353.31416478053234
29.999999999999996,371.4306675464007
32.0,389.0141019233321
34.0,407.705188039663
36.0,423.8216791134953
38.0,440.76704563810847
40.0,458.182796659557
42.0,474.4399550581981
44.0,490.1605050023135
46.0,506.104144017409
48.00000000000001,521.1391694038258
50.0,537.1057326611482
52.0,551.5956210078851
54.0,566.3126397194997
56.0,580.660518187094
58.00000000000001,594.6866730215745
59.99999999999999,608.7436026921835
62.0,622.470451385899
64.0,635.771291947091
66.0,648.6675419508422
68.0,661.4717544999181
70.0,675.5443815310604
72.0,685.8579528786828
74.0,697.981592244253
76.0,710.4088171279918
78.0,721.3443199737596
80.0,732.2240526347115
82.0,742.8159197935089
84.0,752.561884192956
86.0,762.7301028937081
88.0,772.3131924133357
90.0,782.093504399958
92.0,792.4803712590076
94.0,800.8118659159172
96.00000000000001,812.9713022596336
98.0,818.0894704666026
100.0,833.1052446381592
102.0,835.7656661985368
104.0,845.2256201059478
106.0,853.9332375522522
108.0,866.2942044236387
110.0,872.248190453118
112.0,881.2742416695256
114.00000000000001,889.3311604042302
116.00000000000001,898.6858184572861
118.00000000000001,907.3370458508115
119.99999999999999,915.6842238388142
122.0,925.3450049957828
124.0,933.6890888099148
126.0,942.6552927571322
128.0,951.8054884139372
130.0,960.5265598461095
132.0,969.5882550026321
134.0,978.6792651904377
136.0,987.3005425373495
138.0,996.8274525265515
140.0,1005.6103224979629
142.0,1014.2085605912721
144.0,1022.4570074253969
146.0,1032.5182008177223
148.0,1040.4854441343568
150.0,1050.177207813659
210.00000000000003,1054.6282195733233
212.0,1040.5772135435705
214.0,1031.8228903961615
216.0,1023.5895362689763
218.0,1013.8231153411879
220.0,1005.3902635197265
222.0,996.7575525051127
224.0,987.4550127270858
226.0,979.1995481592027
228.00000000000003,969.7901784402848
230.0,961.6548816684812
232.00000000000003,953.6654904269452
234.0,942.9470322189203
236.00000000000003,933.7319690246875
238.0,926.9944158344473
239.99999999999997,917.006534537443
242.0,908.035876370271
244.0,898.2001674672862
246.00000000000003,889.1079207958273
248.0,880.3228729241931
250.00000000000003,872.0508963515579
252.0,863.6249775694771
254.00000000000003,854.1311994125178
256.0,845.4260727966465
258.0,836.471905431835
260.0,826.9605716932817
262.0,818.5892005573605
264.0,809.2551648608966
266.0,800.7458532185873
268.0,790.7157995627882
270.0,781.9397144946664
272.0,772.4962653132303
274.0,763.2431847172605
276.0,752.5530656551922
278.0,742.2528631222325
280.0,735.0944720132729
282.0,721.7253885206687
284.0,710.8212147620001
286.0,698.5406185275508
288.0,687.6186276843135
290.0,675.7539501325047
292.0,662.2470476231516
294.0,649.0853262490472
296.0,635.7641660059617
298.0,622.4688899135331
300.0,609.1518912881834
302.0,595.0497035483002
304.0,582.6946312569464
306.0,566.5756516276706
308.0,551.6751797622793
310.0,537.4142012885452
312.0,521.8784141233851
314.0,505.3795221669596
316.0,489.88310353684267
318.0,472.99859434936855
320.0,456.50259515887944
322.0,439.4946139098251
324.0,423.21976200967686
326.0,405.55960195923524
328.0,389.29115239879434
330.0,371.87840558452444
332.0,352.57585306543984
334.0,334.27004251958374
336.0,316.30618203798855
338.0,295.42484555088834
340.0,273.98273953896074
342.0,251.1638769938144
344.0,226.43999081184677
346.0,200.27764699230536
348.0,172.58285448726386
350.0,147.53251821478898
