nodes,dijsktra,bfm_1thread,bfm_4thread,bfm_1gpu
86140.0,1.466325709,1.111642107,0.414428794,0.806417655
328510.0,12.649584897,6.051124823,2.313611406,1.113845814
464590.0,23.777369438,11.237431064,3.840807436,2.359569353
