nodes,dijsktra,bfm_1thread,bfm_4thread,bfm_6thread,bfm_1gpu
4.902220528279314,2.616625986,4.018843639,1.985395704,1.985395704,1.28712763
5.499563373534403,23.495299736,19.698340801,9.289577853,9.289577853,3.943737068
5.8005864954381545,42.611189134,31.263252624,14.725158366,14.725158366,6.086065853
