degree,travel_time
10.0,148.03689485742092
12.000000000000002,175.395376346893
14.0,202.72045685232
16.0,229.81110543554894
18.0,252.34846020589399
20.0,273.9736543891142
22.0,294.98756697898284
24.000000000000004,313.35969839986325
26.0,331.6150113109
28.0,349.6028387256582
29.999999999999996,367.3416811550558
32.0,384.9456565723215
34.0,402.475862314866
36.0,419.7916241870184
38.0,436.93607068474665
40.0,453.6189090384476
42.0,469.98761244180474
44.0,486.118445942954
46.0,502.01310400846006
48.00000000000001,517.6725669862848
50.0,533.111474199741
52.0,548.3048738790279
54.0,563.2300437198438
56.0,577.9135518250988
58.00000000000001,592.1080042809016
59.99999999999999,605.8204754283835
62.0,619.287802678086
64.0,632.4898531081398
66.0,645.4601858556941
68.0,658.1747766262307
70.0,670.6052875523078
72.0,682.7476666945036
74.0,694.6665341004166
76.0,706.2776140160051
78.0,717.5781370312508
80.0,728.5702607189969
82.0,739.1802758575222
84.0,749.5110853632985
86.0,759.4958887942884
88.0,769.158490538307
90.0,778.5313124873319
92.0,787.7928044853089
94.0,796.9864190413394
96.00000000000001,806.0918233929161
98.0,814.9990073308905
100.0,823.8880660147731
102.0,832.7763913377163
104.0,841.6556410782964
106.0,850.5445470923164
108.0,859.4328932380732
110.0,868.3122829967216
112.0,877.2010428570791
114.00000000000001,886.089399781096
116.00000000000001,894.9689312996843
118.00000000000001,903.8575537949647
119.99999999999999,912.7459109016743
122.0,921.6255881885589
124.0,930.5140794134082
126.0,939.4024266072562
128.0,948.2822511304382
130.0,957.170619779031
132.0,966.058946617055
134.0,974.9389215087434
136.0,983.8271748992939
138.0,992.7154717348244
140.0,1001.5955984184152
142.0,1010.4837444388912
144.0,1019.3720011426136
146.0,1028.2522835247755
148.0,1037.1403284321489
150.0,1046.0285353519353
210.00000000000003,1046.0285348829555
212.0,1037.1403280593204
214.0,1028.252282070256
216.0,1019.3720008147524
218.0,1010.4837441918708
220.0,1001.595597877706
222.0,992.7154715359818
224.0,983.8271743766182
226.0,974.9389208025835
228.00000000000003,966.0589465163516
230.0,957.1706194134396
232.00000000000003,948.2822499342087
234.0,939.4024262581473
236.00000000000003,930.5140790511534
238.0,921.6255875636617
239.99999999999997,912.7459105465947
242.0,903.8575533496064
244.0,894.9689311988946
246.00000000000003,886.0893993376003
248.0,877.2010424969083
250.00000000000003,868.312282025515
252.0,859.4328928065447
254.00000000000003,850.5445471685373
256.0,841.6556409586424
258.0,832.7763909196739
260.0,823.888065975431
262.0,814.9990064476744
264.0,806.0918235775923
266.0,796.9864190865486
268.0,787.7928057287097
270.0,778.5313118541463
272.0,769.1584905383068
274.0,759.4958887942881
276.0,749.5110853632987
278.0,739.1802758575222
280.0,728.5702607189969
282.0,717.5781370312507
284.0,706.277614016005
286.0,694.6665341004164
288.0,682.7476666945038
290.0,670.6052875523077
292.0,658.1747766262307
294.0,645.4601858556944
296.0,632.4898531081399
298.0,619.2878026780861
300.0,605.820475428383
302.0,592.1080042809016
304.0,577.9135518250988
306.0,563.2300437198438
308.0,548.3048738790277
310.0,533.1114741997411
312.0,517.672566986285
314.0,502.01310400846
316.0,486.1184459429543
318.0,469.98761244180474
320.0,453.6189090384475
322.0,436.9360706847466
324.0,419.79162418701844
326.0,402.4758623148656
328.0,384.9456565723214
330.0,367.34168115505605
332.0,349.6028387256583
334.0,331.6150113109002
336.0,313.3596983998632
338.0,294.9875669789831
340.0,273.9736543891141
342.0,252.34846020589418
344.0,229.8111054355487
346.0,202.72045685232
348.0,175.39537634689339
350.0,148.03689485742095
