degree,travel_time
0.0,0.0
8.0,123.63328245001274
16.0,230.74292639520175
24.000000000000004,321.15563372198073
32.0,392.85159554084765
40.0,461.01205756936764
48.00000000000001,525.785926813349
56.0,584.9124366407444
64.0,639.8141163303455
72.0,689.151700191302
80.0,734.5758232532386
88.0,775.695375494536
96.00000000000001,812.4548142457916
104.0,847.9461100514737
112.0,883.4374058571564
119.99999999999999,918.9287016628384
128.0,954.4199974685209
136.0,989.911293274203
144.0,1025.4025890798855
152.0,1060.8938848855678
160.0,1096.3851806912496
168.0,1131.8764764969321
176.0,1167.3677723026144
184.0,1167.3677723026146
192.00000000000003,1131.8764764969321
200.0,1096.38518069125
208.0,1060.8938848855678
216.0,1025.4025890798855
224.0,989.9112932742031
232.00000000000003,954.4199974685206
239.99999999999997,918.9287016628385
248.0,883.4374058571565
256.0,847.9461100514737
264.0,812.4548142457912
272.0,775.6953754945358
280.0,734.5758232532387
288.0,689.151700191302
296.0,639.8141163303455
304.0,584.9124366407444
312.0,525.7859268133492
320.0,461.0120575693678
328.0,392.8515955408478
336.0,321.1556337219806
344.0,230.74292639520155
352.0,123.63328245001294
