degree,travel_time
10.0,148.279979928245
12.000000000000002,175.7436754127472
14.0,203.05803234615018
16.0,230.0553451591324
18.0,254.46553483729198
20.0,275.6274087335465
22.0,297.3074545810988
24.000000000000004,315.49021525799907
26.0,333.2322629867494
28.0,351.5821806838348
29.999999999999996,370.698290888382
32.0,387.65027802995104
34.0,405.14310284174877
36.0,422.95451023356566
38.0,439.25829696098396
40.0,455.79929985399946
42.0,472.56815073235293
44.0,489.28142107936895
46.0,504.5068985993915
48.00000000000001,519.7291283263928
50.0,536.4264651869655
52.0,551.109639954875
54.0,565.203920993995
56.0,580.0604868328174
58.00000000000001,594.8049885901306
59.99999999999999,613.9581676249018
62.0,622.1041533896699
64.0,636.1815937593506
66.0,648.0309763604921
68.0,660.875465286643
70.0,676.8586472903138
72.0,686.3177277333258
74.0,697.5805878484584
76.0,710.0772027299291
78.0,722.0046520184011
80.0,731.2796616542663
82.0,741.9779389215391
84.0,754.5234212238008
86.0,764.2356085166674
88.0,771.5114677598211
90.0,782.5861013800154
92.0,791.9499537167209
94.0,799.6799798861941
96.00000000000001,808.6907268486668
98.0,820.741136031201
100.0,827.2716038980693
102.0,836.1527879141684
104.0,845.1822854401166
106.0,856.9379464842588
108.0,865.0267112987468
110.0,873.853005377933
112.0,880.5734564277287
114.00000000000001,890.0512302247765
116.00000000000001,899.6414741322932
118.00000000000001,906.7648039996453
119.99999999999999,916.6623453979576
122.0,924.1948694211154
124.0,933.2139799469948
126.0,942.6852176105218
128.0,951.5449310821299
130.0,964.7615817576329
132.0,971.4287735868139
134.0,978.5976586669001
136.0,988.4847718253836
138.0,998.4264191699962
140.0,1005.7144062176244
142.0,1014.167013264056
144.0,1024.507210721342
146.0,1031.9238646938377
148.0,1041.9647550658583
150.0,1050.0068207584932
210.00000000000003,1051.190215026276
212.0,1041.1002278675405
214.0,1032.264605585377
216.0,1024.1403678762051
218.0,1016.7151514894091
220.0,1005.4136281413709
222.0,1001.2616518361116
224.0,988.2054772870969
226.0,978.9721744902436
228.00000000000003,971.2127864615438
230.0,963.7216176737329
232.00000000000003,952.9894323664633
234.0,942.8871599607982
236.00000000000003,935.2328714210367
238.0,926.9455809588815
239.99999999999997,915.8964268809772
242.0,907.4850521261483
244.0,898.7109492398458
246.00000000000003,890.7171025774152
248.0,881.3028769354778
250.00000000000003,875.207199374034
252.0,862.779623451793
254.00000000000003,856.0639204976765
256.0,845.1184950964501
258.0,837.5753964031386
260.0,826.3841263874978
262.0,818.8579170592508
264.0,812.015560389571
266.0,802.3415336345097
268.0,790.3078383794933
270.0,782.1606220705795
272.0,775.7756989700503
274.0,762.62811616337
276.0,752.5606147525149
278.0,741.9775099800303
280.0,731.4079719006191
282.0,720.4521526732295
284.0,710.2217992854913
286.0,699.6652667398945
288.0,685.2068428488558
290.0,673.6254281981107
292.0,660.5895822825057
294.0,648.1329827222045
296.0,635.3752319856092
298.0,622.2567247805571
300.0,607.7934074138432
302.0,594.8681146683676
304.0,580.0761450864788
306.0,566.0580631330232
308.0,550.1355912376492
310.0,535.8270581789543
312.0,519.7058931467444
314.0,504.7016524172073
316.0,488.3383432722238
318.0,472.23438727016617
320.0,455.64980311343936
322.0,440.7880390238349
324.0,421.7620667741374
326.0,405.9961552164907
328.0,386.28970347019776
330.0,369.04975216982035
332.0,352.21353300007576
334.0,333.8263895054903
336.0,314.50553538623717
338.0,299.8240640957511
340.0,276.43407791114566
342.0,254.54812264204708
344.0,230.7797503772237
346.0,202.97661363131388
348.0,176.2109106929742
350.0,148.3137449334602
