0	5.8	3.36
1	5.8	3.36
2	5.8	3.36
3	5.8	3.36
4	5.8	3.36
5	5.8	3.36
6	5.8	3.36
7	5.8	3.36
8	5.8	3.36
9	5.8	3.36
10	5.8	3.36
11	5.8	3.36
12	5.8	3.36
13	5.8	3.36
14	5.8	3.36
15	5.8	3.36
16	5.8	3.36
17	5.8	3.36
18	5.8	3.36
19	5.8	3.36
20	5.8	3.36
21	6.5	3.75
22	6.5	3.75
23	6.5	3.75
24	6.5	3.75
25	6.5	3.75
26	6.5	3.75
27	6.5	3.75
28	6.5	3.75
29	6.5	3.75
30	6.5	3.75
31	6.5	3.75
32	6.5	3.75
33	6.5	3.75
34	6.5	3.75
35	6.5	3.75
36	8.04011592	4.47034777
37	8.04023361	4.47070084
38	8.0403513	4.4710539
39	8.04046899	4.47140697
40	8.04058668	4.47176003
41	8.04070437	4.4721131
42	8.04082205	4.47246616
43	8.04093974	4.47281923
44	8.04105743	4.4731723
45	8.04117512	4.47352536
46	8.04129281	4.47387843
47	8.0414105	4.47423149
48	8.04152819	4.47458456
49	8.04164588	4.47493763
50	8.04176356	4.47529069
51	8.04188125	4.47564376
52	8.04199894	4.47599682
53	8.04211663	4.47634989
54	8.04223432	4.47670295
55	8.04235201	4.47705602
56	8.0424697	4.47740909
57	8.04258738	4.47776215
58	8.04270507	4.47811522
59	8.04282276	4.47846828
60	8.04294045	4.47882135
61	8.04305814	4.47917441
62	8.04317583	4.47952748
63	8.04329352	4.47988055
64	8.0434112	4.48023361
65	8.04352889	4.48058668
66	8.04364658	4.48093974
67	8.04376427	4.48129281
68	8.04388196	4.48164588
69	8.04399965	4.48199894
70	8.04411734	4.48235201
71	8.04423502	4.48270507
72	8.04435271	4.48305814
73	8.0444704	4.4834112
74	8.04458809	4.48376427
75	8.04470578	4.48411734
76	8.04482347	4.4844704
77	8.04494116	4.48482347
78	8.04505882	4.48517647
79	8.04517647	4.48552941
80	8.04529412	4.48588235
81	8.04541176	4.48623529
82	8.04552941	4.48658824
83	8.04564706	4.48694118
84	8.04576471	4.48729412
85	8.04588235	4.48764706
86	8.046	4.488
87	8.04611765	4.48835294
88	8.04623529	4.48870588
89	8.04635294	4.48905882
90	8.04647059	4.48941176
91	8.04658824	4.48976471
92	8.04670588	4.49011765
93	8.04682353	4.49047059
94	8.04694118	4.49082353
95	8.04705882	4.49117647
96	8.04717647	4.49152941
97	8.04729412	4.49188235
98	8.04741176	4.49223529
99	8.04752941	4.49258824
100	8.04764706	4.49294118
101	8.04776471	4.49329412
102	8.04788235	4.49364706
103	8.048	4.494
104	8.04811765	4.49435294
105	8.04823529	4.49470588
106	8.04835294	4.49505882
107	8.04847059	4.49541176
108	8.04858824	4.49576471
109	8.04870588	4.49611765
110	8.04882353	4.49647059
111	8.04894118	4.49682353
112	8.04905882	4.49717647
113	8.04917647	4.49752941
114	8.04929412	4.49788235
115	8.04941176	4.49823529
116	8.04952941	4.49858824
117	8.04964706	4.49894118
118	8.04976471	4.49929412
119	8.04988235	4.49964706
120	8.05	4.5
121	8.05277778	4.5002
122	8.05555556	4.5004
123	8.05833333	4.5006
124	8.06111111	4.5008
125	8.06388889	4.501
126	8.06666667	4.5012
127	8.06944444	4.5014
128	8.07222222	4.5016
129	8.075	4.5018
130	8.07777778	4.502
131	8.08055556	4.5022
132	8.08333333	4.5024
133	8.08611111	4.5026
134	8.08888889	4.5028
135	8.09166667	4.503
136	8.09444444	4.5032
137	8.09722222	4.5034
138	8.1	4.5036
139	8.10277778	4.5038
140	8.10555556	4.504
141	8.10833333	4.5042
142	8.11111111	4.5044
143	8.11388889	4.5046
144	8.11666667	4.5048
145	8.11944444	4.505
146	8.12222222	4.5052
147	8.125	4.5054
148	8.12777778	4.5056
149	8.13055556	4.5058
150	8.13333333	4.506
151	8.13611111	4.5062
152	8.13888889	4.5064
153	8.14166667	4.5066
154	8.14444444	4.5068
155	8.14722222	4.507
156	8.15	4.5072
157	8.15277778	4.5074
158	8.15555556	4.5076
159	8.15833333	4.5078
160	8.16111111	4.508
161	8.16388889	4.5082
162	8.16666667	4.5084
163	8.16944444	4.5086
164	8.17222222	4.5088
165	8.175	4.509
166	8.17777778	4.5092
167	8.18055556	4.5094
168	8.18333333	4.5096
169	8.18611111	4.5098
170	8.18888889	4.51
171	8.19166667	4.5102
172	8.19444444	4.5104
173	8.19722222	4.5106
174	8.2	4.5108
175	8.20277778	4.511
176	8.20555556	4.5112
177	8.20833333	4.5114
178	8.21111111	4.5116
179	8.21388889	4.5118
180	8.21666667	4.512
181	8.21944444	4.5122
182	8.22222222	4.5124
183	8.225	4.5126
184	8.22777778	4.5128
185	8.23055556	4.513
186	8.23333333	4.5132
187	8.23611111	4.5134
188	8.23888889	4.5136
189	8.24166667	4.5138
190	8.24444444	4.514
191	8.24722222	4.5142
192	8.25	4.5144
193	8.25277778	4.5146
194	8.25555556	4.5148
195	8.25833333	4.515
196	8.26111111	4.5152
197	8.26388889	4.5154
198	8.26666667	4.5156
199	8.26944444	4.5158
200	8.27222222	4.516
201	8.275	4.5162
202	8.27777778	4.5164
203	8.28055556	4.5166
204	8.28333333	4.5168
205	8.28611111	4.517
206	8.28888889	4.5172
207	8.29166667	4.5174
208	8.29444444	4.5176
209	8.29722222	4.5178
210	8.3	4.518
211	8.30359633	4.52371441
212	8.30724742	4.52545494
213	8.31089852	4.52719546
214	8.31454961	4.52893598
215	8.31820071	4.5306765
216	8.32185181	4.53241703
217	8.3255029	4.53415755
218	8.329154	4.53589807
219	8.33280509	4.53763859
